,name,country_name,clay_Win%,RPW,vAce%,v1st%,v2nd%,Brk%,PtsW/RG
0,Carlos Alcaraz,Spain,100.00%,45.30%,2.90%,39.30%,54.80%,39.60%,3.0
1,Novak Djokovic,Serbia,85.71%,44.50%,4.20%,39.80%,51.90%,35.30%,3.1
2,Alexander Bublik,Kazakhstan,81.82%,31.10%,6.00%,23.70%,42.40%,13.10%,1.9
3,Andrey Rublev,Russian Federation,80.00%,41.80%,4.80%,33.70%,55.60%,30.30%,2.8
4,Frances Tiafoe,United States,77.78%,38.60%,9.80%,31.30%,52.50%,23.90%,2.6
5,Holger Rune,Denmark,77.78%,39.80%,4.90%,32.90%,51.10%,27.10%,2.6
6,Tallon Griekspoor,Netherlands,77.78%,35.80%,5.30%,28.50%,46.70%,20.30%,2.3
7,Adrian Mannarino,France,75.00%,35.60%,7.90%,28.00%,47.60%,21.00%,2.1
8,Christopher Eubanks,United States,75.00%,32.30%,5.30%,22.70%,48.20%,15.80%,1.9
9,Francisco Cerundolo,Argentina,75.00%,41.50%,2.90%,36.00%,51.20%,32.20%,2.8
10,Jannik Sinner,Italy,72.73%,44.80%,4.60%,36.80%,57.50%,37.90%,3.0
11,Alexander Zverev,Germany,71.43%,41.80%,4.10%,32.80%,56.60%,31.60%,2.7
12,Grigor Dimitrov,Bulgaria,71.43%,39.80%,6.10%,30.30%,55.70%,27.10%,2.6
13,Jan Lennard Struff,Germany,71.43%,36.90%,7.00%,28.50%,50.50%,23.60%,2.4
14,Daniil Medvedev,Russian Federation,70.00%,42.20%,2.70%,35.80%,52.20%,33.30%,2.7
15,Alex De Minaur,Australia,66.67%,39.20%,3.20%,32.30%,48.70%,27.70%,2.6
16,Hubert Hurkacz,Poland,66.67%,35.10%,4.00%,26.90%,47.20%,16.00%,2.4
17,Lorenzo Musetti,Italy,66.67%,41.90%,2.90%,35.60%,52.70%,31.60%,2.7
18,Jiri Lehecka,Czech Republic,62.50%,38.30%,4.90%,31.60%,48.60%,25.70%,2.4
19,Roman Safiullin,Russian Federation,62.50%,39.30%,6.10%,33.90%,50.00%,26.20%,2.5
20,Cameron Norrie,United Kingdom,60.00%,40.10%,5.60%,32.10%,53.70%,27.30%,2.7
21,Sebastian Korda,United States,60.00%,40.10%,4.80%,26.30%,58.30%,28.30%,3.2
22,Tommy Paul,United States,58.33%,37.10%,2.70%,32.20%,46.40%,21.30%,2.5
23,Laslo Djere,Serbia,57.14%,36.60%,4.50%,29.80%,47.60%,20.80%,2.3
24,Nicolas Jarry,Chile,57.14%,37.20%,5.30%,30.70%,49.50%,21.10%,2.4
25,Yannick Hanfmann,Germany,57.14%,41.60%,5.30%,35.00%,52.40%,29.10%,2.8
26,Mackenzie Mcdonald,United States,54.55%,39.40%,5.70%,34.20%,49.10%,25.00%,2.6
27,Stefanos Tsitsipas,Greece,50.00%,39.70%,4.30%,33.00%,52.20%,27.80%,2.5
28,Taylor Fritz,United States,42.86%,40.30%,4.10%,32.80%,53.00%,28.20%,2.7
29,Ugo Humbert,France,42.86%,35.70%,6.00%,28.90%,47.60%,19.20%,2.4
30,Alejandro Davidovich Fokina,Spain,40.00%,39.80%,3.70%,31.70%,53.30%,25.40%,2.7
31,Aleksandar Vukic,Australia,40.00%,38.60%,5.10%,28.80%,50.90%,26.60%,2.4
32,Aslan Karatsev,Russian Federation,40.00%,39.50%,6.60%,31.50%,51.50%,25.70%,2.5
33,Ben Shelton,United States,40.00%,32.50%,6.40%,24.60%,46.80%,19.10%,1.9
34,Lorenzo Sonego,Italy,33.33%,36.00%,4.10%,27.40%,48.10%,20.70%,2.2
