,name,country_name,grass_Win%,RPW,vAce%,v1st%,v2nd%,Brk%,PtsW/RG
0,Carlos Alcaraz,Spain,100.00%,40.50%,5.50%,34.30%,52.30%,26.30%,2.7
1,Novak Djokovic,Serbia,85.71%,35.50%,11.80%,25.90%,51.20%,18.40%,2.2
2,Alexander Bublik,Kazakhstan,81.82%,36.90%,8.60%,27.10%,54.00%,20.60%,2.3
3,Andrey Rublev,Russian Federation,80.00%,36.30%,10.90%,27.30%,50.90%,22.60%,2.3
4,Frances Tiafoe,United States,77.78%,34.70%,15.60%,21.60%,54.10%,17.10%,2.3
5,Holger Rune,Denmark,77.78%,34.30%,6.20%,26.00%,47.60%,14.90%,2.3
6,Tallon Griekspoor,Netherlands,77.78%,34.10%,11.80%,27.70%,44.40%,18.40%,2.1
7,Adrian Mannarino,France,75.00%,39.10%,7.70%,30.90%,52.00%,29.10%,2.5
8,Christopher Eubanks,United States,75.00%,30.60%,10.30%,22.20%,44.90%,12.40%,1.9
9,Francisco Cerundolo,Argentina,75.00%,39.80%,5.90%,32.20%,53.80%,24.50%,2.7
10,Jannik Sinner,Italy,72.73%,39.30%,7.80%,31.10%,52.40%,23.50%,2.7
11,Alexander Zverev,Germany,71.43%,32.00%,11.40%,21.40%,49.10%,13.80%,1.9
12,Grigor Dimitrov,Bulgaria,71.43%,40.30%,6.90%,31.30%,53.90%,29.00%,2.6
13,Jan Lennard Struff,Germany,71.43%,33.80%,16.10%,25.40%,47.80%,19.30%,2.1
14,Daniil Medvedev,Russian Federation,70.00%,37.60%,5.70%,30.10%,50.90%,22.80%,2.3
15,Alex De Minaur,Australia,66.67%,38.90%,6.60%,32.90%,49.50%,22.20%,2.6
16,Hubert Hurkacz,Poland,66.67%,31.40%,10.80%,24.90%,44.30%,11.50%,2.0
17,Lorenzo Musetti,Italy,66.67%,37.30%,8.60%,29.10%,50.40%,22.10%,2.4
18,Jiri Lehecka,Czech Republic,62.50%,34.70%,7.10%,27.40%,48.00%,17.60%,2.3
19,Roman Safiullin,Russian Federation,62.50%,37.70%,10.20%,28.30%,53.80%,21.20%,2.5
20,Cameron Norrie,United Kingdom,60.00%,37.70%,12.30%,32.60%,46.70%,22.20%,2.5
21,Sebastian Korda,United States,60.00%,33.90%,9.00%,25.60%,47.40%,12.90%,2.2
22,Tommy Paul,United States,58.33%,38.30%,8.60%,30.80%,50.30%,24.50%,2.5
23,Laslo Djere,Serbia,57.14%,31.70%,8.70%,21.70%,48.00%,10.60%,2.0
24,Nicolas Jarry,Chile,57.14%,36.20%,8.80%,26.90%,51.00%,15.50%,2.5
25,Yannick Hanfmann,Germany,57.14%,37.40%,8.00%,30.20%,50.20%,22.80%,2.3
26,Mackenzie Mcdonald,United States,54.55%,37.70%,7.60%,26.80%,53.40%,21.10%,2.5
27,Stefanos Tsitsipas,Greece,50.00%,29.40%,6.80%,23.10%,40.50%,10.60%,1.7
28,Taylor Fritz,United States,42.86%,33.40%,7.00%,25.70%,47.20%,13.90%,2.1
29,Ugo Humbert,France,42.86%,37.10%,8.20%,30.30%,49.20%,20.20%,2.4
30,Alejandro Davidovich Fokina,Spain,40.00%,37.10%,9.80%,27.30%,53.30%,23.50%,2.4
31,Aleksandar Vukic,Australia,40.00%,32.30%,10.40%,26.70%,42.10%,14.90%,1.9
32,Aslan Karatsev,Russian Federation,40.00%,33.90%,10.60%,27.70%,44.00%,13.60%,2.2
33,Ben Shelton,United States,40.00%,33.00%,5.40%,25.30%,47.10%,9.20%,2.2
34,Lorenzo Sonego,Italy,33.33%,34.00%,9.20%,24.60%,49.80%,13.80%,2.3
