,name,country_name,grass_Win%,Ace%,SPW,DF%,1st%,2nd%,Hld%,Pts/SG
0,Carlos Alcaraz,Spain,89.29%,6.50%,68.70%,3.50%,76.20%,55.10%,90.40%,6.3
1,Holger Rune,Denmark,80.00%,8.00%,68.10%,4.80%,76.60%,53.10%,89.40%,6.2
2,Novak Djokovic,Serbia,80.00%,8.60%,71.70%,1.40%,77.60%,60.90%,93.90%,6.1
3,Andrey Rublev,Russian Federation,79.17%,10.90%,67.60%,1.80%,77.60%,51.20%,87.20%,6.0
4,Stefanos Tsitsipas,Greece,77.27%,10.40%,71.90%,2.20%,79.40%,57.60%,91.60%,6.1
5,Daniil Medvedev,Russian Federation,76.92%,11.00%,66.70%,4.50%,76.20%,47.30%,84.10%,6.2
6,Alexander Zverev,Germany,74.07%,14.50%,72.90%,3.30%,80.10%,56.80%,95.70%,5.9
7,Casper Ruud,Norway,73.33%,6.00%,63.20%,5.60%,73.90%,47.70%,80.50%,6.5
8,Jannik Sinner,Italy,72.73%,11.70%,71.10%,2.70%,80.00%,58.80%,90.60%,5.7
9,Nicolas Jarry,Chile,72.00%,12.70%,68.40%,2.60%,76.00%,51.20%,87.70%,6.2
10,Cameron Norrie,United Kingdom,69.57%,6.90%,64.20%,3.20%,73.70%,47.30%,83.80%,6.3
11,Arthur Fils,France,66.67%,8.80%,69.50%,5.10%,77.50%,57.10%,84.70%,6.0
12,Frances Tiafoe,United States,66.67%,11.60%,68.70%,3.80%,78.00%,55.20%,87.40%,6.4
13,Grigor Dimitrov,Bulgaria,66.67%,15.00%,71.30%,4.90%,83.90%,53.20%,92.00%,5.8
14,Alexei Popyrin,Australia,64.71%,13.20%,67.10%,2.30%,77.60%,52.10%,81.40%,6.0
15,Taylor Fritz,United States,64.71%,11.90%,67.60%,3.00%,76.40%,54.00%,85.40%,6.2
16,Borna Coric,Croatia,64.29%,9.20%,61.30%,3.80%,73.90%,37.30%,73.20%,5.9
17,Jan Lennard Struff,Germany,64.29%,19.70%,69.60%,5.80%,81.20%,52.10%,90.60%,6.3
18,Aslan Karatsev,Russian Federation,63.64%,8.00%,64.10%,6.70%,73.30%,50.20%,83.50%,6.7
19,Sebastian Baez,Argentina,61.29%,2.10%,63.60%,3.20%,68.10%,50.70%,87.80%,6.8
20,Tomas Martin Etcheverry,Argentina,61.29%,5.50%,62.20%,1.80%,69.10%,48.00%,80.00%,6.9
21,Francisco Cerundolo,Argentina,60.00%,4.20%,60.50%,5.20%,68.80%,45.60%,73.80%,6.5
22,Matteo Arnaldi,Italy,60.00%,8.80%,69.90%,3.20%,74.30%,62.80%,87.90%,5.7
23,Yannick Hanfmann,Germany,60.00%,8.70%,68.20%,2.50%,71.20%,62.10%,86.40%,5.9
24,Laslo Djere,Serbia,59.26%,8.10%,68.60%,3.10%,78.00%,52.60%,87.20%,6.6
25,Lorenzo Musetti,Italy,59.26%,8.00%,66.50%,6.20%,77.00%,50.00%,88.70%,6.6
26,Lorenzo Sonego,Italy,56.25%,10.90%,68.10%,2.10%,74.60%,51.90%,87.20%,6.1
27,Dusan Lajovic,Serbia,55.56%,5.70%,57.70%,4.10%,62.50%,48.80%,61.90%,5.9
28,Alejandro Davidovich Fokina,Spain,52.94%,4.10%,65.70%,1.90%,67.50%,61.80%,83.80%,6.7
29,Hubert Hurkacz,Poland,50.00%,20.50%,73.00%,2.20%,81.40%,55.30%,95.80%,6.0
30,Jiri Lehecka,Czech Republic,50.00%,10.40%,69.60%,2.90%,76.50%,56.20%,89.80%,6.2
31,Sebastian Ofner,Austria,50.00%,6.90%,63.40%,6.90%,71.90%,48.60%,80.00%,6.7
32,Daniel Evans,United Kingdom,45.45%,7.80%,66.10%,6.70%,71.30%,60.50%,80.60%,5.8
